fraction_in_sp500,mean_final_value,median_final_value,p5_final_value,p95_final_value,probability_reaching_goal
0.0,153610.54564229606,153513.55244435166,145107.16287368533,162427.60772833973,0.00396
0.25,179904.30496805668,177786.32997297106,155691.7504357938,211336.184974561,0.69731
0.5,206198.0642938174,201705.9036478533,159687.22868320832,267927.5456219979,0.88121
0.75,232491.82361957806,225742.8801350721,162924.1777174647,324727.53501840157,0.92303
1.0,258785.58294533877,249829.70856853487,166144.96869723097,381718.2593263293,0.93981
